,index,_id.$oid,beaconId,relayNo,rssiVal,timeStamp,X-Coordinate,Y-Coordinate
0,0,5c4033f4c249dc7c2c44601b,193,2,90,2019-01-17 07:51:16.739334+00:00,87,15
1,364,5c4033fac249dc7c2c446187,193,18,84,2019-01-17 07:51:22.547092+00:00,87,15
2,382,5c4033fac249dc7c2c446199,193,18,84,2019-01-17 07:51:22.814747+00:00,87,15
3,678,5c4033fec249dc7c2c4462c1,193,4,84,2019-01-17 07:51:26.110897+00:00,87,15
4,698,5c4033fec249dc7c2c4462d5,193,4,84,2019-01-17 07:51:26.739487+00:00,87,15
5,758,5c4033ffc249dc7c2c446311,193,4,84,2019-01-17 07:51:27.488435+00:00,87,15
6,1136,5c403405c249dc7c2c44648b,193,17,93,2019-01-17 07:51:33.166029+00:00,87,15
7,1194,5c403405c249dc7c2c4464c5,193,17,93,2019-01-17 07:51:33.230525+00:00,87,15
8,1332,5c403407c249dc7c2c44654f,193,3,91,2019-01-17 07:51:35.416084+00:00,87,15
9,1886,5c403419c249dc7c344cb925,193,17,88,2019-01-17 07:51:53.408340+00:00,87,15
10,1920,5c40341ac249dc7c344cb947,193,17,88,2019-01-17 07:51:54.520650+00:00,87,15
11,2027,5c40341bc249dc7c344cb9b2,193,17,88,2019-01-17 07:51:55.628754+00:00,87,15
12,2157,5c40341dc249dc7c344cba34,193,2,89,2019-01-17 07:51:57.371999+00:00,87,15
13,2240,5c40341fc249dc7c344cba87,193,2,89,2019-01-17 07:51:59.219372+00:00,87,15
14,2377,5c403420c249dc7c344cbb10,193,3,89,2019-01-17 07:52:00.756392+00:00,87,15
15,2489,5c403421c249dc7c344cbb80,193,18,84,2019-01-17 07:52:01.874190+00:00,87,15
16,2552,5c403422c249dc7c344cbbbf,193,18,84,2019-01-17 07:52:02.721115+00:00,87,15
17,2769,5c403424c249dc7c344cbc98,193,18,85,2019-01-17 07:52:04.783318+00:00,87,15
18,2828,5c403426c249dc7c344cbcd3,193,18,85,2019-01-17 07:52:06.024818+00:00,87,15
19,2910,5c403426c249dc7c344cbd25,193,2,89,2019-01-17 07:52:06.758038+00:00,87,15
20,2964,5c403427c249dc7c344cbd5b,193,2,89,2019-01-17 07:52:07.733143+00:00,87,15
21,2974,5c403427c249dc7c344cbd65,193,2,89,2019-01-17 07:52:07.930701+00:00,87,15
22,3046,5c403428c249dc7c344cbdad,193,4,81,2019-01-17 07:52:08.753462+00:00,87,15
23,3127,5c403429c249dc7c344cbdfe,193,4,81,2019-01-17 07:52:09.664841+00:00,87,15
24,3210,5c40342ac249dc7c344cbe51,193,2,89,2019-01-17 07:52:10.614814+00:00,87,15
25,3336,5c40342cc249dc7c344cbecf,193,18,84,2019-01-17 07:52:12.910318+00:00,87,15
26,3369,5c40342dc249dc7c344cbef0,193,16,91,2019-01-17 07:52:13.465366+00:00,87,15
27,3393,5c40342dc249dc7c344cbf08,193,2,89,2019-01-17 07:52:13.486120+00:00,87,15
28,3434,5c40342dc249dc7c344cbf31,193,18,84,2019-01-17 07:52:13.718260+00:00,87,15
29,3862,5c403434c249dc7c344cc0dd,193,2,88,2019-01-17 07:52:20.407017+00:00,87,15
30,3931,5c403436c249dc7c344cc122,193,2,88,2019-01-17 07:52:22.349776+00:00,87,15
31,3991,5c403436c249dc7c344cc15e,193,18,84,2019-01-17 07:52:22.484378+00:00,87,15
32,4160,5c403438c249dc7c344cc207,193,18,84,2019-01-17 07:52:24.532356+00:00,87,15
33,4514,5c40343dc249dc7c344cc369,193,4,83,2019-01-17 07:52:29.080893+00:00,87,15
34,4579,5c40343dc249dc7c344cc3aa,193,4,83,2019-01-17 07:52:29.334864+00:00,87,15
35,4848,5c403440c249dc7c344cc4b7,193,2,87,2019-01-17 07:52:32.925577+00:00,87,15
36,5161,5c403444c249dc7c344cc5f0,193,2,88,2019-01-17 07:52:36.918649+00:00,87,15
37,5698,5c40344bc249dc7c344cc809,193,2,89,2019-01-17 07:52:43.095521+00:00,87,15
38,5771,5c40344cc249dc7c344cc852,193,4,88,2019-01-17 07:52:44.288890+00:00,87,15
39,5800,5c40344dc249dc7c344cc86f,193,2,89,2019-01-17 07:52:45.230006+00:00,87,15
40,5818,5c40344dc249dc7c344cc881,193,4,88,2019-01-17 07:52:45.242692+00:00,87,15
41,5855,5c40344dc249dc7c344cc8a6,193,18,85,2019-01-17 07:52:45.577795+00:00,87,15
42,5927,5c40344ec249dc7c344cc8ee,193,18,85,2019-01-17 07:52:46.289677+00:00,87,15
43,6406,5c403454c249dc7c344ccacd,193,2,89,2019-01-17 07:52:52.673029+00:00,87,15
44,6472,5c403455c249dc7c344ccb0f,193,2,89,2019-01-17 07:52:53.608700+00:00,87,15
45,6753,5c403458c249dc7c344ccc28,193,18,91,2019-01-17 07:52:56.462788+00:00,87,15
46,6827,5c403458c249dc7c344ccc72,193,18,91,2019-01-17 07:52:56.715746+00:00,87,15
47,7115,5c40345dc249dc7c344ccd92,193,4,86,2019-01-17 07:53:01.388304+00:00,87,15
48,7143,5c40345dc249dc7c344ccdae,193,4,86,2019-01-17 07:53:01.771347+00:00,87,15
49,7335,5c403461c249dc7c344cce6e,193,18,88,2019-01-17 07:53:05.891961+00:00,87,15
50,7339,5c403461c249dc7c344cce72,193,2,88,2019-01-17 07:53:05.894905+00:00,87,15
51,7354,5c403462c249dc7c344cce81,193,16,92,2019-01-17 07:53:06.319263+00:00,87,15
52,7501,5c403466c249dc7c344ccf14,193,2,88,2019-01-17 07:53:10.792878+00:00,87,15
53,7680,5c403468c249dc7c344ccfc7,193,2,88,2019-01-17 07:53:12.905792+00:00,87,15
54,7757,5c403469c249dc7c344cd014,193,18,88,2019-01-17 07:53:13.042507+00:00,87,15
55,7770,5c403469c249dc7c344cd021,193,16,92,2019-01-17 07:53:13.052992+00:00,87,15
56,7889,5c403469c249dc7c344cd098,193,2,88,2019-01-17 07:53:13.356518+00:00,87,15
57,8167,5c40346cc249dc7c344cd1ae,193,2,88,2019-01-17 07:53:16.592181+00:00,87,15
58,8234,5c40346ec249dc7c344cd1f1,193,4,85,2019-01-17 07:53:18.544582+00:00,87,15
59,8321,5c403470c249dc7c344cd248,193,17,89,2019-01-17 07:53:20.116492+00:00,87,15
60,8366,5c403470c249dc7c344cd275,193,17,89,2019-01-17 07:53:20.904088+00:00,87,15
61,8850,5c403477c249dc7c344cd459,193,18,85,2019-01-17 07:53:27.914309+00:00,87,15
62,9385,5c40347ec249dc7c344cd670,193,18,85,2019-01-17 07:53:34.460360+00:00,87,15
63,9390,5c40347ec249dc7c344cd675,193,2,91,2019-01-17 07:53:34.464145+00:00,87,15
64,9458,5c40347ec249dc7c344cd6b9,193,18,85,2019-01-17 07:53:34.934827+00:00,87,15
65,9823,5c403483c249dc7c344cd826,193,2,92,2019-01-17 07:53:39.393008+00:00,87,15
66,10120,5c403488c249dc7c344cd94f,193,4,82,2019-01-17 07:53:44.351200+00:00,87,15
67,10162,5c403488c249dc7c344cd979,193,4,82,2019-01-17 07:53:44.728678+00:00,87,15
68,10394,5c40348ac249dc7c344cda61,193,2,90,2019-01-17 07:53:46.961652+00:00,87,15
69,10423,5c40348bc249dc7c344cda7e,193,4,83,2019-01-17 07:53:47.883080+00:00,87,15
70,10521,5c40348cc249dc7c344cdae0,193,2,90,2019-01-17 07:53:48.520731+00:00,87,15
71,10606,5c40348dc249dc7c344cdb35,193,4,83,2019-01-17 07:53:49.934277+00:00,87,15
72,10658,5c40348ec249dc7c344cdb69,193,4,83,2019-01-17 07:53:50.730686+00:00,87,15
73,10943,5c403491c249dc7c344cdc86,193,2,89,2019-01-17 07:53:53.818310+00:00,87,15
74,10964,5c403492c249dc7c344cdc9b,193,2,89,2019-01-17 07:53:54.198068+00:00,87,15
75,11012,5c403493c249dc7c344cdccb,193,18,85,2019-01-17 07:53:55.204139+00:00,87,15
76,11032,5c403493c249dc7c344cdcdf,193,17,93,2019-01-17 07:53:55.224851+00:00,87,15
77,11122,5c403494c249dc7c344cdd39,193,17,93,2019-01-17 07:53:56.537332+00:00,87,15
78,11180,5c403494c249dc7c344cdd73,193,18,85,2019-01-17 07:53:56.579365+00:00,87,15
79,11852,5c40349ec249dc7c344ce013,193,18,84,2019-01-17 07:54:06.257632+00:00,87,15
80,11897,5c40349ec249dc7c344ce040,193,4,82,2019-01-17 07:54:06.799490+00:00,87,15
81,11917,5c40349fc249dc7c344ce054,193,2,90,2019-01-17 07:54:07.440167+00:00,87,15
82,12070,5c4034a6c249dc7c344ce0ed,193,3,89,2019-01-17 07:54:14.868285+00:00,87,15
83,12286,5c4034a8c249dc7c344ce1c5,193,2,88,2019-01-17 07:54:16.532509+00:00,87,15
84,12382,5c4034abc249dc7c344ce225,193,17,89,2019-01-17 07:54:19.275813+00:00,87,15
