,beaconId,relayNo,rssiVal,timeStamp
0,0007,24,92,2019-03-28 17:53:42.653092
1,fc03,24,3,2019-03-28 17:53:42.653110
2,1e50,24,12,2019-03-28 17:53:42.653115
3,0020,24,0,2019-03-28 17:53:42.653119
4,0000,24,0,2019-03-28 17:53:42.653123
5,2319,24,0,2019-03-28 17:53:42.653128
6,0698,07,89,2019-03-28 17:53:43.142826
7,0535,07,1,2019-03-28 17:53:43.142854
8,0000,07,0,2019-03-28 17:53:43.142867
9,0000,07,122,2019-03-28 17:53:43.142879
10,01b0,07,0,2019-03-28 17:53:43.142889
11,4f02,07,80,2019-03-28 17:53:43.142900
12,0698,04,90,2019-03-28 17:53:43.241428
13,0f03,04,3,2019-03-28 17:53:43.241446
14,1e50,04,12,2019-03-28 17:53:43.241451
15,0020,04,0,2019-03-28 17:53:43.241456
16,0000,04,0,2019-03-28 17:53:43.241460
17,f316,04,0,2019-03-28 17:53:43.241464
18,0000,13,0,2019-03-28 17:53:43.902191
19,0403,13,3,2019-03-28 17:53:43.902233
20,1e50,13,12,2019-03-28 17:53:43.902255
21,0020,13,0,2019-03-28 17:53:43.902274
22,0000,13,0,2019-03-28 17:53:43.902324
23,d310,13,0,2019-03-28 17:53:43.902340
24,0007,23,88,2019-03-28 17:53:43.902433
25,0203,23,3,2019-03-28 17:53:43.902455
26,1e50,23,12,2019-03-28 17:53:43.902473
27,0020,23,0,2019-03-28 17:53:43.902488
28,0000,23,0,2019-03-28 17:53:43.902504
29,2329,23,0,2019-03-28 17:53:43.902522
30,0000,03,0,2019-03-28 17:53:43.902571
31,0503,03,3,2019-03-28 17:53:43.902593
32,1e50,03,12,2019-03-28 17:53:43.902611
33,0020,03,0,2019-03-28 17:53:43.902630
34,0000,03,0,2019-03-28 17:53:43.902648
35,332d,03,0,2019-03-28 17:53:43.902665
36,0699,14,91,2019-03-28 17:53:43.902713
37,0f03,14,3,2019-03-28 17:53:43.902725
38,1e50,14,12,2019-03-28 17:53:43.902734
39,0020,14,0,2019-03-28 17:53:43.902742
40,0000,14,0,2019-03-28 17:53:43.902750
41,131c,14,0,2019-03-28 17:53:43.902758
42,0700,17,88,2019-03-28 17:53:43.902781
43,0698,17,89,2019-03-28 17:53:43.902791
44,0699,17,90,2019-03-28 17:53:43.902800
45,0000,17,0,2019-03-28 17:53:43.902808
46,0000,17,0,2019-03-28 17:53:43.902817
47,032e,17,0,2019-03-28 17:53:43.902826
48,0700,16,78,2019-03-28 17:53:43.902848
49,0700,16,81,2019-03-28 17:53:43.902858
50,0000,16,0,2019-03-28 17:53:43.902867
51,0000,16,78,2019-03-28 17:53:43.902876
52,75b0,16,0,2019-03-28 17:53:43.902884
53,8776,16,80,2019-03-28 17:53:43.902892
54,0698,18,85,2019-03-28 17:53:43.902913
55,f303,18,3,2019-03-28 17:53:43.902923
56,1e50,18,12,2019-03-28 17:53:43.902931
57,0020,18,0,2019-03-28 17:53:43.902939
58,0000,18,0,2019-03-28 17:53:43.902947
59,2320,18,0,2019-03-28 17:53:43.902956
60,0000,09,0,2019-03-28 17:53:44.372099
61,f703,09,3,2019-03-28 17:53:44.372131
62,1e50,09,12,2019-03-28 17:53:44.372141
63,0020,09,0,2019-03-28 17:53:44.372150
64,0000,09,0,2019-03-28 17:53:44.372158
65,e30b,09,0,2019-03-28 17:53:44.372166
66,0700,05,91,2019-03-28 17:53:45.809612
67,0698,05,89,2019-03-28 17:53:45.809731
68,0700,05,89,2019-03-28 17:53:45.809761
69,0020,05,0,2019-03-28 17:53:45.809780
70,0000,05,0,2019-03-28 17:53:45.809797
71,3316,05,0,2019-03-28 17:53:45.809860
72,0000,02,0,2019-03-28 17:53:45.809992
73,0703,02,3,2019-03-28 17:53:45.810022
74,1e50,02,12,2019-03-28 17:53:45.810033
75,0020,02,0,2019-03-28 17:53:45.810042
76,0000,02,0,2019-03-28 17:53:45.810051
77,3316,02,0,2019-03-28 17:53:45.810059
78,0700,15,86,2019-03-28 17:53:45.910188
79,f403,15,3,2019-03-28 17:53:45.910207
80,1e50,15,12,2019-03-28 17:53:45.910212
81,0020,15,0,2019-03-28 17:53:45.910217
82,0000,15,0,2019-03-28 17:53:45.910221
83,d319,15,0,2019-03-28 17:53:45.910225
84,0007,24,92,2019-03-28 17:53:45.910410
85,f303,24,3,2019-03-28 17:53:45.910425
86,1e50,24,12,2019-03-28 17:53:45.910434
87,0020,24,0,2019-03-28 17:53:45.910443
88,0000,24,0,2019-03-28 17:53:45.910451
89,2320,24,0,2019-03-28 17:53:45.910460
90,0700,08,89,2019-03-28 17:53:45.910486
91,0700,08,91,2019-03-28 17:53:45.910495
92,1e50,08,12,2019-03-28 17:53:45.910504
93,0020,08,0,2019-03-28 17:53:45.910512
94,0000,08,8984,2019-03-28 17:53:45.910520
95,0700,08,89,2019-03-28 17:53:45.910544
96,0700,08,91,2019-03-28 17:53:45.910553
97,1e50,08,12,2019-03-28 17:53:45.910562
98,0020,08,0,2019-03-28 17:53:45.910572
99,0000,08,0,2019-03-28 17:53:45.910581
100,d31a,08,0,2019-03-28 17:53:45.910590
101,0007,20,90,2019-03-28 17:53:45.910614
102,0000,20,0,2019-03-28 17:53:45.910623
103,1e50,20,12,2019-03-28 17:53:45.910631
104,0020,20,0,2019-03-28 17:53:45.910639
105,0000,20,0,2019-03-28 17:53:45.910647
106,030f,20,0,2019-03-28 17:53:45.910655
107,0699,06,86,2019-03-28 17:53:45.910829
108,0698,06,87,2019-03-28 17:53:45.910844
109,1e50,06,12,2019-03-28 17:53:45.910854
110,0020,06,0,2019-03-28 17:53:45.910863
111,0000,06,0,2019-03-28 17:53:45.910871
112,2328,06,0,2019-03-28 17:53:45.910878
113,0698,04,90,2019-03-28 17:53:45.911043
114,f703,04,3,2019-03-28 17:53:45.911058
115,1e50,04,12,2019-03-28 17:53:45.911069
116,0020,04,0,2019-03-28 17:53:45.911077
117,0000,04,0,2019-03-28 17:53:45.911086
118,2328,04,0,2019-03-28 17:53:45.911094
119,0000,13,0,2019-03-28 17:53:46.168140
120,f603,13,3,2019-03-28 17:53:46.168169
121,1e50,13,12,2019-03-28 17:53:46.168212
122,0020,13,0,2019-03-28 17:53:46.168219
123,0000,13,0,2019-03-28 17:53:46.168223
124,331f,13,0,2019-03-28 17:53:46.168228
125,0000,03,0,2019-03-28 17:53:46.168254
126,0c03,03,3,2019-03-28 17:53:46.168260
127,1e50,03,12,2019-03-28 17:53:46.168266
128,0020,03,0,2019-03-28 17:53:46.168270
129,0000,03,0,2019-03-28 17:53:46.168274
130,230b,03,0,2019-03-28 17:53:46.168278
131,0698,07,89,2019-03-28 17:53:46.847586
132,fd03,07,3,2019-03-28 17:53:46.847627
133,1e50,07,12,2019-03-28 17:53:46.847647
134,0020,07,0,2019-03-28 17:53:46.847664
135,0000,07,0,2019-03-28 17:53:46.847680
136,0321,07,0,2019-03-28 17:53:46.847697
137,0700,17,90,2019-03-28 17:53:46.847747
138,0698,17,89,2019-03-28 17:53:46.847765
139,1e50,17,12,2019-03-28 17:53:46.847774
140,0020,17,0,2019-03-28 17:53:46.847783
141,0000,17,0,2019-03-28 17:53:46.847791
142,f321,17,0,2019-03-28 17:53:46.847799
143,0700,16,81,2019-03-28 17:53:46.847824
144,0700,16,81,2019-03-28 17:53:46.847834
145,1e50,16,12,2019-03-28 17:53:46.847842
146,0020,16,0,2019-03-28 17:53:46.847850
147,0000,16,0,2019-03-28 17:53:46.847859
148,0329,16,0,2019-03-28 17:53:46.847867
149,0700,18,88,2019-03-28 17:53:46.847891
150,0699,18,92,2019-03-28 17:53:46.847901
151,0698,18,90,2019-03-28 17:53:46.847910
152,0020,18,0,2019-03-28 17:53:46.847918
153,0000,18,0,2019-03-28 17:53:46.847926
154,f329,18,0,2019-03-28 17:53:46.847935
155,0000,19,0,2019-03-28 17:53:46.930784
156,0e03,19,3,2019-03-28 17:53:46.930810
157,1e50,19,12,2019-03-28 17:53:46.930823
158,0020,19,0,2019-03-28 17:53:46.930834
159,0000,19,0,2019-03-28 17:53:46.930844
160,232a,19,0,2019-03-28 17:53:46.930855
161,0000,02,0,2019-03-28 17:53:46.930885
162,fa03,02,3,2019-03-28 17:53:46.930896
163,1e50,02,12,2019-03-28 17:53:46.931017
164,0020,02,0,2019-03-28 17:53:46.931037
165,0000,02,0,2019-03-28 17:53:46.931049
166,3315,02,0,2019-03-28 17:53:46.931058
167,0699,15,89,2019-03-28 17:53:46.931249
168,0700,15,86,2019-03-28 17:53:46.931260
169,0698,15,91,2019-03-28 17:53:46.931265
170,0000,15,125,2019-03-28 17:53:46.931269
171,e0b1,15,0,2019-03-28 17:53:46.931273
172,53e1,15,79,2019-03-28 17:53:46.931278
173,0699,14,91,2019-03-28 17:53:46.931379
174,f503,14,3,2019-03-28 17:53:46.931388
175,1e50,14,12,2019-03-28 17:53:46.931397
176,0020,14,0,2019-03-28 17:53:46.931405
177,0000,14,0,2019-03-28 17:53:46.931413
178,f319,14,0,2019-03-28 17:53:46.931421
179,0000,09,0,2019-03-28 17:53:49.288189
180,0503,09,3,2019-03-28 17:53:49.288220
181,1e50,09,12,2019-03-28 17:53:49.288231
182,0020,09,0,2019-03-28 17:53:49.288239
183,0000,09,0,2019-03-28 17:53:49.288248
184,331b,09,0,2019-03-28 17:53:49.288256
185,0000,09,0,2019-03-28 17:53:49.288286
186,03,09,3,2019-03-28 17:53:49.288296
187,1e50,09,12,2019-03-28 17:53:49.288304
188,0020,09,0,2019-03-28 17:53:49.288313
189,0000,09,0,2019-03-28 17:53:49.288321
190,f327,09,0,2019-03-28 17:53:49.288329
191,0699,08,90,2019-03-28 17:53:49.288353
192,0700,08,91,2019-03-28 17:53:49.288453
193,1e50,08,12,2019-03-28 17:53:49.288481
194,0020,08,0,2019-03-28 17:53:49.288501
195,0000,08,0,2019-03-28 17:53:49.288519
196,132e,08,0,2019-03-28 17:53:49.288561
197,0700,05,91,2019-03-28 17:53:49.288603
198,0d03,05,3,2019-03-28 17:53:49.288613
199,1e50,05,12,2019-03-28 17:53:49.288622
200,0020,05,0,2019-03-28 17:53:49.288631
201,0000,05,0,2019-03-28 17:53:49.288639
202,032a,05,0,2019-03-28 17:53:49.288648
203,0698,06,90,2019-03-28 17:53:49.389329
204,0699,06,92,2019-03-28 17:53:49.389347
205,0700,06,90,2019-03-28 17:53:49.389353
206,0000,06,74,2019-03-28 17:53:49.389357
207,2db2,06,0,2019-03-28 17:53:49.389362
208,1f2e,06,78,2019-03-28 17:53:49.389366
209,0698,07,89,2019-03-28 17:53:49.389381
210,0203,07,3,2019-03-28 17:53:49.389386
211,1e50,07,12,2019-03-28 17:53:49.389390
212,0020,07,0,2019-03-28 17:53:49.389394
213,0000,07,0,2019-03-28 17:53:49.389398
214,3313,07,0,2019-03-28 17:53:49.389402
215,0698,04,90,2019-03-28 17:53:49.389569
216,0203,04,3,2019-03-28 17:53:49.389584
217,1e50,04,12,2019-03-28 17:53:49.389593
218,0020,04,0,2019-03-28 17:53:49.389601
219,0000,04,0,2019-03-28 17:53:49.389610
220,e311,04,0,2019-03-28 17:53:49.389618
221,0700,05,91,2019-03-28 17:53:49.389779
222,0d03,05,3,2019-03-28 17:53:49.389793
223,1e50,05,12,2019-03-28 17:53:49.389802
224,0020,05,0,2019-03-28 17:53:49.389812
225,0000,05,0,2019-03-28 17:53:49.389821
226,032a,05,0,2019-03-28 17:53:49.389829
227,0000,13,0,2019-03-28 17:53:49.425566
228,f603,13,3,2019-03-28 17:53:49.425585
229,1e50,13,12,2019-03-28 17:53:49.425590
230,0020,13,0,2019-03-28 17:53:49.425594
231,0000,13,0,2019-03-28 17:53:49.425598
232,331f,13,0,2019-03-28 17:53:49.425602
233,0000,03,0,2019-03-28 17:53:49.425617
234,0c03,03,3,2019-03-28 17:53:49.425624
235,1e50,03,12,2019-03-28 17:53:49.425628
236,0020,03,0,2019-03-28 17:53:49.425632
237,0000,03,0,2019-03-28 17:53:49.425636
238,230b,03,0,2019-03-28 17:53:49.425640
239,0000,03,0,2019-03-28 17:53:49.425651
240,f403,03,3,2019-03-28 17:53:49.425656
241,1e50,03,12,2019-03-28 17:53:49.425660
242,0020,03,0,2019-03-28 17:53:49.425664
243,0000,03,0,2019-03-28 17:53:49.425668
244,f30c,03,0,2019-03-28 17:53:49.425672
245,0699,15,89,2019-03-28 17:53:49.425683
246,0700,15,86,2019-03-28 17:53:49.425687
247,0698,15,91,2019-03-28 17:53:49.425692
248,0000,15,125,2019-03-28 17:53:49.425696
249,e0b1,15,0,2019-03-28 17:53:49.425700
250,53e1,15,79,2019-03-28 17:53:49.425704
251,0698,06,90,2019-03-28 17:53:49.425715
252,0699,06,92,2019-03-28 17:53:49.425720
253,0700,06,90,2019-03-28 17:53:49.425724
254,0000,06,74,2019-03-28 17:53:49.425728
255,2db2,06,0,2019-03-28 17:53:49.425732
256,1f2e,06,78,2019-03-28 17:53:49.425736
257,0699,14,91,2019-03-28 17:53:49.425747
258,f503,14,3,2019-03-28 17:53:49.425752
259,1e50,14,12,2019-03-28 17:53:49.425756
260,0020,14,0,2019-03-28 17:53:49.425760
261,0000,14,0,2019-03-28 17:53:49.425764
262,f319,14,0,2019-03-28 17:53:49.425768
263,0698,07,89,2019-03-28 17:53:49.425779
264,0203,07,3,2019-03-28 17:53:49.425783
265,1e50,07,12,2019-03-28 17:53:49.425787
266,0020,07,0,2019-03-28 17:53:49.425791
267,0000,07,0,2019-03-28 17:53:49.425795
268,3313,07,0,2019-03-28 17:53:49.425799
269,0700,05,87,2019-03-28 17:53:49.490880
270,0698,05,89,2019-03-28 17:53:49.490910
271,1e50,05,12,2019-03-28 17:53:49.490921
272,0020,05,0,2019-03-28 17:53:49.490931
273,0000,05,0,2019-03-28 17:53:49.490941
274,e30a,05,0,2019-03-28 17:53:49.490951
275,0000,19,0,2019-03-28 17:53:49.490980
276,0803,19,3,2019-03-28 17:53:49.490991
277,1e50,19,12,2019-03-28 17:53:49.491001
278,0020,19,0,2019-03-28 17:53:49.491011
279,0000,19,0,2019-03-28 17:53:49.491020
280,f318,19,0,2019-03-28 17:53:49.491030
281,0000,02,0,2019-03-28 17:53:49.491055
282,fa03,02,3,2019-03-28 17:53:49.491066
283,1e50,02,12,2019-03-28 17:53:49.491075
284,0020,02,0,2019-03-28 17:53:49.491085
285,0000,02,0,2019-03-28 17:53:49.491095
286,3315,02,0,2019-03-28 17:53:49.491104
287,0000,02,0,2019-03-28 17:53:49.491128
288,f703,02,3,2019-03-28 17:53:49.491139
289,1e50,02,12,2019-03-28 17:53:49.491149
290,0020,02,0,2019-03-28 17:53:49.491158
291,0000,02,0,2019-03-28 17:53:49.491167
292,f314,02,0,2019-03-28 17:53:49.491176
293,0000,13,0,2019-03-28 17:53:49.491200
294,0d03,13,3,2019-03-28 17:53:49.491210
295,1e50,13,12,2019-03-28 17:53:49.491220
296,0020,13,0,2019-03-28 17:53:49.491230
297,0000,13,0,2019-03-28 17:53:49.491240
298,f30e,13,0,2019-03-28 17:53:49.491249
299,0007,23,88,2019-03-28 17:53:49.491273
300,0000,23,0,2019-03-28 17:53:49.491283
301,0699,14,91,2019-03-28 17:53:49.491308
302,f603,14,3,2019-03-28 17:53:49.491318
303,1e50,14,12,2019-03-28 17:53:49.491328
304,0020,14,0,2019-03-28 17:53:49.491338
305,0000,14,0,2019-03-28 17:53:49.491347
306,0323,14,0,2019-03-28 17:53:49.491357
307,0000,09,0,2019-03-28 17:53:49.801263
308,0403,09,3,2019-03-28 17:53:49.801283
309,1e50,09,12,2019-03-28 17:53:49.801288
310,0020,09,0,2019-03-28 17:53:49.801294
311,0000,09,0,2019-03-28 17:53:49.801298
312,f327,09,0,2019-03-28 17:53:49.801302
313,0000,09,0,2019-03-28 17:53:49.801317
314,f403,09,3,2019-03-28 17:53:49.801322
315,1e50,09,12,2019-03-28 17:53:49.801326
316,0020,09,0,2019-03-28 17:53:49.801330
317,0000,09,0,2019-03-28 17:53:49.801334
318,d307,09,0,2019-03-28 17:53:49.801338
319,0699,08,90,2019-03-28 17:53:49.801350
320,0700,08,91,2019-03-28 17:53:49.801355
321,1e50,08,12,2019-03-28 17:53:49.801359
322,0020,08,0,2019-03-28 17:53:49.801363
323,0000,08,0,2019-03-28 17:53:49.801367
324,132e,08,0,2019-03-28 17:53:49.801371
325,0698,06,85,2019-03-28 17:53:50.074229
326,0699,06,86,2019-03-28 17:53:50.074247
327,0700,06,90,2019-03-28 17:53:50.074252
328,0020,06,0,2019-03-28 17:53:50.074257
329,0000,06,0,2019-03-28 17:53:50.074262
330,2320,06,0,2019-03-28 17:53:50.074266
331,0698,07,89,2019-03-28 17:53:50.074281
332,fd03,07,3,2019-03-28 17:53:50.074285
333,1e50,07,12,2019-03-28 17:53:50.074290
334,0020,07,0,2019-03-28 17:53:50.074294
335,0000,07,0,2019-03-28 17:53:50.074298
336,331d,07,0,2019-03-28 17:53:50.074302
337,0698,04,90,2019-03-28 17:53:50.516988
338,0e03,04,3,2019-03-28 17:53:50.517021
339,1e50,04,12,2019-03-28 17:53:50.517032
340,0020,04,0,2019-03-28 17:53:50.517041
341,0000,04,0,2019-03-28 17:53:50.517049
