Tag id,X,Y
354,105,28
321,105,28
134,108,28
371,108,28
325,110,28
120,110,28
143,110,28
111,116,28
108,116,28
131,120,28
0,120,28
351,124,28
64,124,28
51,126,28
767,126,28
750,133,28
721,133,28
722,135,28
644,135,28
740,136,28
405,136,28
446,139,28
580,139,28
476,141,28
454,141,28
425,143,28
445,143,28
435,153,25
589,153,25
419,152,25
496,152,25
494,158,21
579,158,21
401,156,21
493,156,21
424,154,18
119,154,18
236,158,15
135,158,15
595,156,12
307,156,12
60,156,9
6,156,9
10,158,7
32,158,7
34,160,7
22,160,5
178,165,4
81,166,11
2,166,11
3,164,15
33,164,15
1,167,19
93,167,19
62,161,20
42,161,20
71,171,7
184,171,7
165,173,10
24,173,10
23,169,13
154,169,13
312,168,15
333,168,15
101,169,19
361,169,19
835,168,22
335,168,22
862,169,25
814,169,25
875,166,23
888,166,23
110,160,25
822,160,25
372,147,23
287,147,23
853,148,19
373,148,19
893,147,15
269,147,15
844,148,11
67,148,11
44,148,7
192,148,7
76,144,5
191,144,5
38,141,7
27,141,7
87,138,5
61,138,5
14,138,10
352,138,10
336,136,14
35,136,14
45,138,18
29,138,18
130,136,23
95,136,23
55,130,23
318,130,23
364,127,19
358,127,19
377,131,15
370,131,15
345,129,10
365,129,10
360,126,5
340,126,5
320,127,9
204,127,9
319,124,18
346,124,18
367,126,21
326,126,21
140,118,7
122,118,7
386,120,13
21,120,13
389,119,2
327,119,2
329,114,4
443,114,4
409,112,10
600,112,10
587,114,13
485,114,13
412,112,22
455,112,22
436,114,25
483,114,25
433,105,22
492,105,22
475,105,16
439,105,16
495,104,13
441,104,13
429,109,5
465,109,5
466,105,5
415,105,5
481,101,4
272,101,4
223,94,7
281,94,7
328,94,11
200,94,11
241,94,15
264,94,15
260,94,20
280,94,20
205,91,24
242,91,24
262,87,24
201,87,24
830,85,19
253,85,19
232,87,15
193,87,15
270,85,11
350,85,11
222,87,6
836,87,6
879,85,1
900,85,1
859,82,5
847,82,5
866,83,10
809,83,10
849,79,15
363,79,15
813,83,20
828,83,20
897,67,28
860,67,28
811,64,28
850,64,28
829,61,24
43,61,24
15,59,28
31,59,28
5,56,28
800,53,25
164,53,25
219,50,27
170,50,27
173,46,25
255,44,25
113,39,24
237,39,24
142,36,24
183,36,24
115,33,25
196,33,25
249,31,24
297,31,24
239,35,19
123,35,10
302,25,9
151,27,16
285,32,27
180,24,27
365,28,13
